Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant,nonsignificant
ZNF263,4.729740382785201,1.0805605855249931,0.234388354696546,4.610129146236618,4.024189032267236e-06,0.0005073683286965603,True,False
SCIN,8.190090675436618,-1.8431995890019233,0.576103869971656,-3.1994223352337623,0.0013770328305535275,0.02995204081968871,True,False
TKTL1,4.017727581560978,-1.6933405910343136,0.5439019179250577,-3.113319764516133,0.0018499546415959632,0.03664520292477512,True,False
EHD2,10.871431050103986,-2.0384313794983666,0.6542121402373896,-3.115856851507975,0.00183411283132025,0.036444359146191915,True,False
MYOM2,6.387231568456871,-2.9386907715059842,0.8655240681177823,-3.3952733144632568,0.000685601216888159,0.019380477255963494,True,False
TMCC3,58.6845750089749,-1.6475941644830994,0.5534569077245535,-2.9769149892028817,0.0029116473275050234,0.04979860681268195,True,False
EVI5,44.70624025547523,1.4649024180349226,0.3590299660823238,4.080167552641073,4.500325015181292e-05,0.0028244991405853687,True,False
PTPN3,2.302555579775331,1.859790819382504,0.5500332970001343,3.381233153566792,0.00072161284444491,0.02012707112810863,True,False
SDHA,609.9738510734688,-1.8281493933475745,0.27563681644262017,-6.632457220126629,3.3014404341292117e-11,3.359687276074205e-08,True,False
NUAK1,15.894507826734152,-1.994615868916242,0.6581766121018169,-3.0305176942502543,0.002441348817900519,0.0442517768557617,True,False
CAMSAP3,7.0892322673527985,1.4166502604430808,0.3566254462124578,3.9723757109556304,7.115936687052669e-05,0.004039073704399975,True,False
CEACAM1,23.472901684369276,1.2864615121072187,0.2810787399473209,4.576872346689488,4.719792640774023e-06,0.0005529188612600867,True,False
MOK,6.281963155505786,-1.5738717222538916,0.47928890562584026,-3.2837641426287134,0.0010243060631845977,0.025273600716068555,True,False
ZMPSTE24,168.53414954305308,-3.2501763635177374,0.5248693566081107,-6.1923530543324405,5.927260032492605e-10,4.4445091412064287e-07,True,False
WNT11,2.08511988556535,-1.7040591105466265,0.47862189744179445,-3.5603450649765946,0.0003703677849213115,0.012653788565405097,True,False
HSD17B2,8.033893272180512,-5.251624327685699,0.8749131250880677,-6.002452331661017,1.943593328127702e-09,1.258653370265244e-06,True,False
CDHR5,7.3513503881384885,-1.0467574757422367,0.3153811962738091,-3.319023100012145,0.0009033295643658887,0.023207197675135825,True,False
SLC5A1,4.461358257476384,-4.252598506603005,1.3093820078478813,-3.2477905463147727,0.0011630485218722222,0.027114608405754883,True,False
FAM118A,86.59839230355136,1.3292186424295638,0.34556096175175166,3.8465532555858095,0.0001197911025376915,0.005755943299310779,True,False
PYGL,1.5879476574143792,-2.62879224393163,0.7295288025784451,-3.6034111808066136,0.00031406810016142736,0.01115842449625899,True,False
ALKBH1,98.50324522129837,-1.3214473140743805,0.28618771402359655,-4.6174145475910455,3.885505960048255e-06,0.0004987099406559233,True,False
RAB5IF,1.4439926791038389,-2.248393764391917,0.7500836538901731,-2.9975240131297753,0.00272182414834405,0.04781483186369627,True,False
SLCO4A1,4.859336240531489,1.2290170575450559,0.3711230496601908,3.3116160763131623,0.0009275874920584802,0.023683403224654422,True,False
TNNC2,2.69368455077643,-1.0046452832271289,0.28913393306616925,-3.474670968478862,0.0005114803072748939,0.015860413790715937,True,False
ASB9,16.407647054604737,-1.1078410688360292,0.3527953390488285,-3.1401805699102474,0.0016884372830102796,0.0346616224366678,True,False
TAF7L,7.86346834430997,-6.060012856248297,1.6070872672565606,-3.7708050954776535,0.0001627217281811738,0.0072446764418661975,True,False
FGF9,25.170857818523558,-1.084100814532395,0.307510652841185,-3.5254089720666775,0.0004228294646041265,0.013691025868670433,True,False
FLT1,23.035617178672677,-5.170076040460924,0.8980563578499915,-5.756961682046816,8.56413406483395e-09,4.207352345575492e-06,True,False
GABPB1,48.63679751441511,-1.0666359306175799,0.21847810616262645,-4.882118164387687,1.0495233020634594e-06,0.00018690698105622633,True,False
ECH1,11.878773180734271,3.927515961459184,0.7172852937145237,5.475528350958102,4.3620811333530036e-08,1.635436050181059e-05,True,False
SIGLEC6,3.3212984438812567,1.290653379731053,0.420501744127347,3.0693175420936774,0.00214548414330812,0.04037874846725335,True,False
RASIP1,1.3615683880930285,1.8201879125175462,0.49544544537666085,3.673841246302615,0.00023893121451948562,0.009351793992470088,True,False
GLI3,5.3226597952597015,-1.4021170170607675,0.4621350715986125,-3.033998290176463,0.002413357977744883,0.04380014154003994,True,False
RAPGEF1,9.683261134744887,1.556410543178086,0.47461129171100086,3.27933736588343,0.001040511648386189,0.02544580452002374,True,False
COL1A1,6.560576806202215,-1.524954809048419,0.4652623356789286,-3.277623594489218,0.001046848895249837,0.025467719692187453,True,False
ENPP5,90.79616965382621,-2.567461491627609,0.6538068841914662,-3.9269416607668086,8.603283814733857e-05,0.004642840322292169,True,False
GHR,11.047889237204716,-1.6777305791164043,0.5348103997536886,-3.1370567585991176,0.0017065308741633163,0.034882274554095795,True,False
HBEGF,9.832987141355947,2.112674398503637,0.4579369106440525,4.613461700504389,3.960172643287984e-06,0.0005037551754368206,True,False
CBLB,300.26346574756974,-1.1629932920854673,0.22011532521709315,-5.283563472640726,1.2669493931486743e-07,3.595057353099473e-05,True,False
