Gene,Log2FoldChange,PValue
TNFRSF12A,-0.09172507789224915,0.39172514399901337
DLX6,-0.006203616303561199,0.9162377305431508
MAP3K9,0.017396719012489292,0.592293598269702
RALA,-0.031812927281552605,0.612473105141731
BAIAP2L1,0.01223136478513509,0.8808085912756884
KDM7A,-0.11053297112465366,0.02071480897007831
ETV1,0.06843871354999631,0.561165594312605
AGK,-0.07543352940112302,0.3893145570202651
ALDH3B1,0.20527992210566115,0.09292239882854529
TTC22,0.0026949506732476536,0.962337793019532
PHTF2,0.07218714609119825,0.22594316544681675
CCL26,-0.009582224725428912,0.8641315605998579
FARP2,-0.013017348526250139,0.6441106959474497
USH1C,-0.0588154895836287,0.43245643954278035
GGCT,0.010230273460406059,0.8214057433666284
DBF4,-0.16329208228779368,0.0015204871678103087
TBXA2R,0.06081959652906832,0.5400632703495968
IFRD1,0.036053203886457275,0.7904828863630103
LGALS14,0.3291112876292899,0.0032889636916983442
COX10,0.09177519453778826,0.02350518294603744
GTF2IRD1,-0.021793352742090377,0.825153912710905
PAF1,0.06084997074123821,0.21403529368305976
VPS41,-0.04404272400854925,0.5582994367911329
ARHGAP44,0.11817167547674157,0.21581863716809999
ELAC2,0.07682314729333894,0.05922797288676376
SCIN,-0.29077229081167344,0.3960161110049938
ARSD,0.11053565913033503,0.07528095853141746
PNPLA4,-0.031348211091394074,0.5062707532773018
MYH13,0.014647052328011778,0.84211836262956
ADIPOR2,0.18278614844956165,0.0018896900685679355
CDKL3,-0.026858503131302003,0.6202473601155676
UPP2,-0.033147780202396726,0.8664053843312607
PRSS21,-0.024596118318851223,0.7376053326884547
MARK4,-0.02064201453526593,0.7943721355885028
PROM1,-0.07693060089051024,0.08408224330237245
CCDC124,0.021359886402581907,0.7663621129366052
CEACAM21,0.032355258694332534,0.30873906414364227
PAFAH1B1,0.01715948831074332,0.6723792864347911
NOS2,-0.043956621115576244,0.1424380053017882
DNAH9,0.12838259319205558,0.25016302488039965
BLTP2,-0.01730855970401768,0.787870225717153
SLC13A2,-0.03143908610972801,0.4395935086903472
GAS7,-0.5812344180398394,0.009550579659294445
TRAPPC6A,0.13164866380969853,0.06458360129884572
MATK,-0.19397307874126923,0.30422076340135795
CEACAM7,0.023986497768131,0.3112675868388792
CD79B,0.1562563901952787,0.006482894171416495
SCN4A,-0.14189968972471112,0.14948328705862524
ST7L,-0.002011863210332532,0.9786023423247339
TKTL1,-0.4662272535576153,9.225494438751521e-05
PAX6,-0.0007174227395497779,0.9927322087785322
RPUSD1,-0.007425340710110362,0.8987652078874209
RHBDF1,0.00686081446372766,0.9514422183421463
LUC7L,0.017003007288776573,0.8126459230761569
CACNA2D2,-0.050889856353593554,0.8193923660145218
BAIAP3,-0.08101378594435937,0.5263777991836714
TSR3,-0.01912362078905927,0.7012815025161196
PIGQ,0.03895198143166123,0.39876253649363846
CRAMP1,0.09631693863393131,0.024767230130002336
TEAD3,0.12403780193453762,0.2530265135294429
SELE,-0.04583998999721561,0.1521022796622476
DNAJC11,0.0376742048795613,0.3504323331604441
FMO3,0.03725985397720799,0.45625867362759376
MYLIP,-0.07249406965325367,0.3529110138609731
NOX1,-0.05497333088619,0.3201132224185521
E2F2,0.32234918519217093,0.0660690107557027
PSMB1,0.050052756431241185,0.489350161976406
SYN1,0.28290746633818453,0.007802512376047259
JARID2,-0.203956146500901,0.001985178984178103
CDKL5,0.020237565334994878,0.38145779380496736
CAMK1G,-0.048675281221101985,0.5479462454126766
CDK11A,-0.01708898092311628,0.7712696239176282
NADK,0.06499889247797608,0.32564123188898275
TFAP2B,0.0016221228601668858,0.9592556659563856
TFAP2D,-0.0594232368914861,0.39452399924671067
DLEC1,-0.028773950857542863,0.3268273431686397
CYTH3,-0.06566775661012025,0.17015032253284854
ADAM22,-0.08798579157599584,0.3107622007663784
SYPL1,0.05276679097355785,0.4607493083540468
CYB561,-0.004235201887939466,0.9396735475348201
SPAG9,-0.14008757368584934,0.02580514054359043
CELSR3,-0.016970716545034126,0.8377849485478353
AASS,-0.011390993509179825,0.8088744952962771
PLEKHG6,-0.10362797475965313,0.3670667560718831
SS18L2,0.0627489726149495,0.1490601047187914
MPND,-0.00022883052105227009,0.9933946343042603
MGST1,0.14775981473272826,0.17472950528998948
CRY1,0.03935520215330435,0.29141728843269205
PGLYRP1,-0.0036975195369793323,0.947630407294585
NFIX,-0.001127227378840523,0.9848781283080361
ST3GAL1,-0.02192285008881978,0.6878684441388265
MMP25,-0.043103351610827234,0.507827451904654
IL32,0.031465991754113354,0.6038526730330116
PKD1,0.08384555644633496,0.4184442394482225
MAPK8IP2,-0.14909002967737894,0.003037920101545699
MED24,0.0172500594023699,0.861741006534788
RHOBTB2,0.03136758398099193,0.45399570686731194
HEATR5B,-0.07763779462869591,0.20751311030540767
SEC62,0.03332551486718671,0.5916079813041528
RPS20,-0.09746163907040284,0.46064106347430034
CSDE1,0.0498891051437913,0.6883587216691252
UBE3C,-0.03803409125046375,0.5516457236554168
REV3L,0.10144631423692152,0.5370055729630809
TENM1,-0.015200693569277224,0.7437269114165301
PAX7,-0.000293823923469827,0.9266052888929054
MASP2,0.12165316347109528,0.10977812624841836
IYD,-0.04115049672749427,0.801733403084157
FAM76A,-0.03242282408389796,0.4338838878163296
TRAF3IP3,0.2702369309792041,0.001856906758529607
POMT2,-0.024286679572674164,0.5352845410948508
VTA1,-0.012894419490441233,0.6651149661257694
MLXIPL,-0.19547917592358122,0.0889937868540628
BAZ1B,0.014769058266864032,0.7698300186549285
RANBP9,-0.07870582732562337,0.053351414228284245
ETV7,0.12836251462378367,0.2967783409486049
SPRTN,-0.08274601292169015,0.00932988763319426
METTL13,0.06495097693046237,0.03614287253973571
DYRK4,0.07851188024702827,0.47013978413308777
ZNF207,-0.10424311594270819,0.3302195009737572
UQCRC1,0.04596379835003184,0.3825330531594745
STARD3NL,-0.009559490505823387,0.7722726148556801
CD9,0.040177754746900884,0.5703294619531891
HHATL,0.03304475019934944,0.6282167869117381
NCAPD2,0.18173225554639938,0.0026606833706759986
IFFO1,-0.07490498858804706,0.3519227129036572
GIPR,-0.08463786561515318,0.7433359432519056
PHF7,-0.013655526946871221,0.7580382306999149
SEMA3G,0.17673167060679762,0.29245375949836566
NISCH,-0.016900179928933667,0.7526423491151351
STAB1,-0.017518644914087833,0.8763956549175491
FUZ,-0.01890444548036818,0.6425051554836116
SLC6A13,-0.027671700735618976,0.8059275915380897
IDS,-0.009059170537700112,0.9338265016531884
PRSS3,0.19347815452476247,0.14971387648382678
ZNF200,0.01659348014107298,0.6447702135798761
CD4,0.18479417962305078,0.5214714697861076
LRRC23,-0.05256359111177167,0.26414968102981456
BTK,-0.16494226079926033,0.084652028302054
HFE,0.11779062692390196,0.01090050234506701
SCMH1,-0.08247362247695023,0.025419578242801732
FYN,0.1258466666664404,0.1609695049319621
HIVEP2,0.09052958543603973,0.26973366753228295
FMO1,0.04275081114952406,0.31491785751880286
ELOA,-0.13032198257893413,0.010836135911775836
LYPLA2,0.09537974647433112,0.012272794271517777
CLCN6,-0.06309421908337409,0.16587950676175106
MRC2,-0.030844408615553043,0.5963567718894446
NME1-NME2,0.001009375127101142,0.9856558775077136
SLC6A7,5.704193339317598e-05,0.9983948061145649
TSPAN9,-0.1620220161115915,0.12107610502517617
BTBD7,0.03428231292929773,0.34790728819573735
APBA3,-0.20792548093523688,0.0014305804522797303
MKS1,0.053687350074534734,0.19081961686163
ABHD5,-0.021761704581035657,0.5129251479854151
ANOS1,-0.06924085181469042,0.19527048624347945
AKAP8L,-0.12398394388113498,0.003374935157144524
MBTD1,-0.10329544770368493,0.06429024217107217
UTP18,-0.040428701865745875,0.5016815068564184
RNF216,-0.07967359339791891,0.4307900415626271
TTC19,-0.06453225541152952,0.09340225984432309
PTBP1,0.1464602915791211,0.004778635252805226
DPF1,0.2240439373151808,0.07016019189418633
SYT7,-0.11112586439312122,0.2403257417942582
LARS2,0.018363261811758402,0.6686711516824537
PIK3C2A,0.04747152080350592,0.39827699118648463
PLAUR,0.1232081994300036,0.04228969250167113
ANLN,-0.011541765590729058,0.8976752581416643
WIZ,-0.031390941536119765,0.5735188001177327
RABGAP1,0.04460996858681643,0.1914025909341913
DCN,0.010763788999346158,0.9707265433239738
QPCTL,-0.01174802195293001,0.6940659929184745
PPP5C,0.08895623932739305,0.27088516767444315
CEP68,0.041754705001161074,0.6101301558807471
MAP4K3,-0.04766981409280646,0.27165236843659524
ZBTB32,-0.02020923052821133,0.8494960502077373
TYROBP,-0.48759108695085707,0.058973428710676117
LDAF1,-0.014980583007206505,0.7502369289699465
GABRA3,-0.028817680274548674,0.5912453343113271
BRCA1,-0.056238510248438844,0.1497838540271538
ERCC1,0.0648505537012185,0.06457140552628608
CD22,0.06362993396663785,0.5797324793277171
SEMA3B,0.08671184774064589,0.36675162180944476
MBTPS2,-0.017382891131428657,0.697511784899816
PRICKLE3,0.04872586769307552,0.10547311252596124
LTF,-0.055878256389244485,0.151587539961597
EXTL3,0.034817146267852817,0.4509490573585263
NR1H4,0.11469591359794379,0.18514843530503103
ELOVL5,0.07178621772473903,0.5179610981628013
ALOX5,0.15111682033626428,0.09251731551500557
KDM5D,0.09090780462229286,0.8317794986472467
CALCOCO1,0.019892928219492845,0.7966466455295891
UBR7,-0.03364849390452562,0.4601360759535269
MAP4K5,-0.02505328503171045,0.4224289034611163
EHD3,0.029836971055088757,0.3377518439863073
PSMC4,-0.1053557812537873,0.05348592388610429
MAN2B2,0.029505528580913154,0.6316692396145285
SLC7A14,0.06838177305995474,0.583465194182325
CLDN11,0.02852447947494252,0.7869112020542013
SLC25A39,0.05349183894838072,0.44352296274471936
MVP,0.20369991335815474,0.023881066192201754
NUB1,0.06677650979506566,0.11635591327371943
PGM3,0.11293158648420598,0.25546432753366916
RWDD2A,-0.04208695685623187,0.43648968345503725
CLK1,-0.316213816512553,0.01623386163384852
POLR3B,0.03185399005589362,0.27678284202324543
ANGEL1,-0.021872671928123033,0.7463720820291264
RNF14,-0.015331358721139665,0.8062745047480679
DNASE1L1,0.024307564858613517,0.5158493557903414
DDX11,0.01742583192387981,0.779598662576491
HEBP1,0.0571723838830831,0.2710576916618352
GPRC5A,0.19994592037389258,0.06626961250762882
MAMLD1,-0.08382368189178169,0.434032113084697
CD6,0.018584616201681392,0.7533736046396037
TACC3,0.18416928720919756,0.12480744360692078
UFL1,-0.01820031362310459,0.7884430436465767
POLA2,-0.05433224437809825,0.5118129069604337
ZC3H3,0.08932182104289366,0.10917832232326252
CAPN1,0.20273105171642314,0.19601175816545133
ACP3,-0.0754445815556668,0.6099555085971236
MDH1,0.017806896631928026,0.7453999700176994
SLC30A9,-0.0036574493336671843,0.9260228699773931
MTMR11,0.028813426803623976,0.7548430673918062
COX15,0.2013422103878868,0.15905174331797087
CCDC88C,-0.17694059672932294,0.008058565698399819
YAF2,0.0029906501185756884,0.9542048210662483
ZMYND11,0.022684404304266437,0.7603544225091308
WAS,0.09277018675890325,0.05260841297303027
DPEP1,0.016937890946615075,0.6371694065913952
BID,0.1041838209871615,0.0057649336387950835
MATR3,0.0038267896562418358,0.9767181694051923
NPC1L1,-0.041409423401922996,0.7057760738798546
XYLT2,-5.894321909227784e-05,0.9992045505085472
RGPD5,-0.25909636342173625,0.05874973236308079
STMN4,-0.12823447443030167,0.2446231833477713
NUDCD3,0.07565488624747863,0.18706283092527243
ISL1,-0.000293823923469827,0.9266052888929054
CHDH,0.038892801828078305,0.7421664858864772
IL20RA,0.008670312492866261,0.8360699127043596
CLCA1,0.023294479266039003,0.3110759381033101
CLCA4,-0.06083415068741199,0.14932987646376852
GLT8D1,0.023221270118486625,0.6605378104714594
ATP2C1,0.0374556598170962,0.7357103315347061
IGF1,0.004108626308618302,0.959037909227677
SLC38A5,0.09148732399328807,0.003632865779766777
RALBP1,0.15395730494049342,0.43959491389186733
RUFY3,0.01597866745238674,0.6584281419688602
CNTN1,0.05941720411197016,0.3850039106859463
SLC11A1,-0.0878138773362711,0.6748156027723644
WWTR1,0.02990254563162842,0.7653863228347422
AGPS,0.013595101676223909,0.554745727038378
STEEP1,0.0027295377339413562,0.9250442264289478
ATP1A2,-0.08366713841007911,0.8129933287756185
TTC27,0.003079213860760044,0.8699499376661382
ZNF582,-0.044972661398474445,0.6563880647004011
VSIG2,0.08117410904893996,0.4204740062415172
PHLDB1,-0.09361617181596249,0.06305044328276256
MARCO,-0.000293823923469827,0.9266052888929054
CYP24A1,0.10100070622186785,0.3980836564025617
PRDM11,-0.13599268483971794,0.024607966429602522
SYT13,0.14494374541913874,0.03900594510990715
SNAI2,0.00268522651183728,0.9478634004083699
CD74,-0.16826775924646364,0.2552437377172531
HGF,0.00998621974844438,0.9166771642768152
ZRANB1,-0.12911759002047152,0.0025323510284900514
NCDN,0.1172338134155928,0.03137960300522338
ADGRA2,0.15106960948365633,0.09452796603777719
ZFP64,0.11623438475831804,4.768439387105658e-06
MNAT1,-0.05337696768100031,0.08081053350444826
SAMD4A,0.10126790852101397,0.3166581678484991
RUNX3,-0.39030961276215415,0.0160006303004419
MRE11,-0.048243288765394965,0.33103174676104385
PLEKHB1,0.061130654384410565,0.6640602908909443
SERPINB1,-0.0045702861441712095,0.9472066695060766
CYP3A43,-0.003163860044224198,0.9739506346759724
SLC7A9,-0.1718853030874361,0.1103359855108616
SPAST,0.08873617800820321,0.06072279228366793
NRXN3,0.010829839828309207,0.9178636717287868
OSBPL5,-0.04937927135769904,0.8150105066984189
AQR,-0.07231678826383936,0.2202232677008607
CPS1,-0.13049330150082183,0.15355725567080597
C8B,0.03668215724815549,0.3293796302800015
FHL1,-0.020359954307360595,0.8533026115342706
RTF2,0.010481684100382527,0.7942335628784984
GABRA1,-0.050293189460185794,0.5824208761473506
NLRP2,0.01837894042397803,0.5811297042134111
SLC45A4,0.027164678383823304,0.3457840859308424
RNF10,-0.0797977035188473,0.10576737375675481
ZNF839,-0.06441253261093527,0.02627610638637474
ZDHHC6,0.037348801548966915,0.280332148101546
GRAMD1B,-0.029443843518769608,0.5035426512366017
RNH1,-0.04902419240968481,0.31092235771818705
NDUFS1,-0.025758380542897363,0.5665641924217377
RB1CC1,-0.0694515533922555,0.0621832568844114
ERP44,-0.01941633748105298,0.7816824076898792
ALAS1,0.04076961531217993,0.24311117833357127
BIRC3,0.10521915580573893,0.4259340964817715
AKAP11,-0.04473677087447259,0.564996215445782
GLRX2,-0.008904752280483486,0.7278367691510815
SNAPC1,-0.0651252694353528,0.22508365859537705
DERA,0.027363517292466444,0.4651697116234117
STRAP,-0.058192624928956604,0.0762905154124948
ABCC2,-0.03704275641165111,0.34199487850105137
DEF6,0.07511453009364111,0.21677572742063725
PLEKHO1,-0.025542284959620964,0.46726766203801784
GCLM,-0.018846511159901436,0.6736229547037784
UBR2,-0.017516481107852755,0.7596486141021195
EHD2,-0.14229540862688594,0.2929651895029624
DEPDC1,-0.00706935814400822,0.9167189732811591
CCDC28A,-0.06644710651067776,0.02494741450453205
RRAGD,-0.07594478830403872,0.14288619619026618
HSF2,-0.07983932346957201,0.07326385457071721
PHF20,0.10913280337586473,0.13829189749796644
HSD17B6,0.1272050919208243,0.21744155190148584
NR1H3,0.0013645784119178384,0.9903815452574318
TYMP,0.1465945011159695,0.06997720916290663
NCAPH2,-0.04320010619601744,0.5621810626361831
TOMM34,0.02306022027333432,0.4419404021485739
SEC63,-0.11552565846231966,0.10200106960066219
KPNA6,-0.0006323767439142536,0.9859796704030183
VIM,0.13591081261994642,0.15766343790097442
RTEL1-TNFRSF6B,0.02098832812306517,0.7409925716957135
FAS,0.1081643121056941,0.33784429324063436
RNASET2,0.005887112155095409,0.9628693598923528
CD44,-0.0304770251823967,0.4024822597758074
KCNG1,0.08803886235706726,0.4137711852470588
AGPAT4,-0.0618197496758226,0.3149209623630235
SLAMF7,-0.2809024183594735,0.1857522268060294
BTN3A1,0.019179345218026,0.7686526589017852
MIPEP,0.030605062941764016,0.1340582581786052
PRKCH,-0.04796821205736812,0.6461986649427047
INSRR,-0.1714102891402811,0.1128090898637888
IFNGR1,-0.16333393855715128,0.03298752330249437
B4GALT7,-0.04348066837768094,0.1655523773239478
SH2D2A,-0.03426304669847635,0.7890255179359716
VRK2,-0.08198325688472208,0.061358297657407565
TNFRSF1B,-0.04247149515071502,0.7773436633444593
VEZT,-0.021894419354932193,0.6331824071608989
POU2F2,0.2412549849747685,0.16081680437783588
BRD9,0.07070168144224809,0.4572699429905932
SNX1,0.09907729897836903,0.21730505713347192
TBPL1,-0.14402749823075167,0.00332361298216973
BMAL2,0.053707935893075875,0.5761940938794002
BCLAF1,-0.1851916056392291,0.015514902386474665
SLC39A9,0.0038705121174213986,0.8818612777683821
ANK1,0.10926637668075401,0.36556277694087724
IBSP,-0.03041849179750533,0.3090154240455477
TFB1M,0.053437989135769026,0.022366984305559844
RABEP1,-0.00848523781346655,0.7925298068974911
HMGB3,0.044576373728129504,0.25788381827599066
NUP160,0.052896505690280815,0.3336463691631554
BAK1,-0.0341299604974199,0.6582354802725896
MUSK,0.0011032222640938172,0.9785631635655654
IKZF2,0.0675614464686567,0.4293587873247249
GRN,0.1746709081312776,0.0017757429672748512
FAM13B,-0.044364304532039434,0.3017659533238765
ARHGAP31,0.06232499769129518,0.1367776899587696
CENPQ,-0.015292959774365844,0.9055605511461838
SARS1,0.1591986815376365,0.0014348506584021562
RANBP3,-0.11855142204950786,0.3057575419854447
ARID4A,-0.1207688685646513,0.06663770554842907
EIPR1,-0.07675183262734087,0.19947784555229234
PNPLA6,-0.023786874824165416,0.6030626473609143
IFT88,-0.017121842004314436,0.8444845897273088
ALG1,-0.011516506146773686,0.7467130557248719
ZCCHC8,-0.04198207604574922,0.49396462821359277
ABCF2,0.04861201423570005,0.4793099037767662
CHPF2,0.1453461098716291,0.02050986163755196
LRRC7,0.011119554292945755,0.9313422338445688
FUT8,0.04628378354529561,0.3838085083953945
UBA6,0.00039332952107473673,0.9901958930737123
GAB2,-0.053598474422764664,0.5479695346976889
ATP6V0A1,0.014693056269169169,0.7647822357426024
PIAS1,-0.14839208511571966,0.13485405782963658
SLC4A7,-0.06201512751941429,0.4671196927556107
APBA2,0.15600733674683953,0.4253226794319144
MAP2K3,-0.028008043640670444,0.7758957845844625
CLXN,-0.004962792038132435,0.9167877535946403
TMSB10,0.055575075795559314,0.20639239798337755
ASTE1,0.032632650708179334,0.8189203295961287
RNF19A,0.08796538667909992,0.23489682361279693
PEX3,-0.08238872100253136,0.07514369270690459
GABARAPL2,0.026634750047279887,0.6425137791877877
MYOC,-0.000293823923469827,0.9266052888929054
SH3YL1,0.08704015251635022,0.2865944380863332
FAM136A,-0.03254245363489039,0.39246002228941734
VCL,-0.13773817964102353,0.22850499857566323
DEPDC1B,-0.07316099200466808,0.6955079827149506
DAPK2,-0.08855591060930812,0.37349353444697964
NSMAF,-0.014592056062805892,0.7827659602588541
ADSS2,-0.06658449359283303,0.31775625455373024
STAP1,0.03142018896373089,0.7723543837783273
TIMP2,0.006350393462715598,0.9324392328171811
RFC1,-0.07096999113487534,0.07997762430810755
TBC1D23,0.010162388831081781,0.8714093084190693
CUL3,-0.005443683091486129,0.8999321300542162
MYOM2,-0.32206878505313297,0.04180145195056859
OTC,0.08914805101112316,0.13573490885183967
CYP46A1,-0.07086994436308203,0.6755720833086548
ZZZ3,-0.006538791772518593,0.8685985400766665
SLC18A1,-0.021144262444984685,0.6689912126678024
USP2,0.011816075657277603,0.9211151067017775
CASR,0.1748144141072825,0.03262341826087949
TUBG2,0.019355860547464854,0.6595151261129479
RPL26L1,0.023973987566404453,0.5489448806176864
FLT4,-0.3411347475651616,0.012517097067430313
NSUN2,0.08680796892928333,0.0017218193218210423
FBXO42,-0.022775736120370205,0.5498320380042565
MFAP3,-0.08200502066888138,0.024296733852030093
MRI1,0.04605956097212083,0.41336639282759147
METTL1,-0.021987351100274832,0.5437373266107516
HOXC8,-0.000293823923469827,0.9266052888929054
AGA,0.03522624973040456,0.6864158660807906
PI4K2B,0.032170403078610854,0.32379353112709053
BOD1L1,-0.07834697380242828,0.09905576890655472
MAT2B,0.2614628077347758,1.800271149466786e-05
TLL1,-0.09163807140147517,0.04134385077516592
EDC4,-0.052411270365613216,0.3126158460826217
TRIO,-0.08595589025301198,0.6112866533495126
VCAN,-0.15538693500500167,0.15263761501856146
CLEC16A,0.0201045019394277,0.8521009610014539
MSR1,-0.13819833680299187,0.22451014195200275
CDH1,0.10272317732297997,0.39187263912644843
MTREX,-0.04031115646480288,0.2734272968091805
DNAH5,-0.02628325638953477,0.30752606687545364
ZFYVE16,-0.0026421559696796493,0.9350208887693021
RIPOR1,0.06445694955602366,0.5313171036229742
C6,-0.04938123513837306,0.1446381422942708
RAI14,-0.07398671190754724,0.5085120283309976
SOX30,0.059062275574607415,0.6042311860026023
PNKP,-0.031888915142559426,0.6686582025594652
BEST2,0.09389663673405046,0.3511323354912582
PHLPP2,-0.06638544292948212,0.035542126660432244
SPDL1,0.0649371470867608,0.03806121042619172
STAU2,-0.0061658211834716425,0.8847233939109074
SLC66A1,-0.029776289000228218,0.5252572104654467
CTNS,0.06306447760335576,0.12398114471557868
RTN4R,0.11360186400048433,0.16413078550522583
PHF23,0.17658551742144546,0.002260520841870796
CDH10,-0.02949688236944159,0.5350032984312574
INPP4A,-0.08405057029572838,0.4239856908673877
RAB27B,-0.04876866996156304,0.6318340389341133
