Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
NOS3,2330.906071279601,-8.094862626869357,0.6585935515166509,-12.291135569469205,1.010760948212903e-34,1.440031122918923e-30
ZNF836,64.9477263400427,-4.391820828283756,0.45222758390038464,-9.711527966527521,2.6926983800003834e-22,1.918143690993273e-18
CISH,602.7042085744005,2.324258341944598,0.2516844900920991,9.234809586773027,2.5874581352356457e-20,1.2287838684234082e-16
RPS27L,111.27950323389071,-4.596312690523251,0.5302974193948099,-8.667424208416271,4.4200567682609706e-18,1.574313719435351e-14
ZNF761,59.93501189249098,5.637856076062063,0.6682288005723649,8.437014494486037,3.2554610506868285e-17,9.27611071782705e-14
ADGRE2,76.12990402156424,-6.167012218959674,0.7806850620143251,-7.899487922886006,2.8005156932992e-15,6.64982451373895e-12
PIM1,1739.350183560716,0.989661310882259,0.1261427262048423,7.845567799725169,4.309989106656487e-15,8.772059257504996e-12
IRF2,763.3513371225592,0.3350744478361576,0.04621039937894311,7.2510614999973875,4.135178526831766e-13,7.364236058971522e-10
PAM,60.897736138436166,-2.6694538737405566,0.37490721562406387,-7.120305404890732,1.0768817515526798e-12,1.704703812707892e-09
USO1,166.06564084369458,0.41773326739703065,0.05896934494781469,7.083905506610367,1.4014748903114505e-12,1.9966812762267235e-09
MBNL2,611.7620134120308,-0.4558371737221362,0.06590171989026217,-6.916923784101303,4.6155623790111425e-12,5.97799247397925e-09
FARP1,23.669595143485317,-3.738832842530427,0.5434934338829441,-6.879260372694189,6.016410799282459e-12,7.142983721448099e-09
CFAP45,18.262407077799804,-1.0053642239243046,0.1486120897874,-6.765023124044272,1.3328790899362673e-11,1.4607329534093846e-08
SDHA,609.9738510734688,-1.8281493933475725,0.27563681644262017,-6.632457220126622,3.30144043412938e-11,3.359687276074377e-08
STIP1,387.1548577500105,0.3779996651030245,0.057749415388112416,6.5455150076001445,5.92907034598945e-11,5.6314310146207796e-08
EGLN2,376.3893069722686,0.6012814366792294,0.09343659703920328,6.435181243029957,1.2332608230588966e-10,1.0981416841325063e-07
QNG1,24.095442364269573,0.7320588543457137,0.11416469492123112,6.412305090035092,1.4333562211678951e-10,1.2012368284105296e-07
CISD1,29.896152662349735,0.6229279309596774,0.0993989064045571,6.26694954192291,3.6818939325386215e-10,2.914219047604319e-07
ZMPSTE24,168.53414954305308,-3.2501763635176997,0.5248693566081106,-6.1923530543323695,5.9272600324953e-10,4.4445091412084494e-07
PSAT1,24.137799319006657,0.7858026516441001,0.1278878490559772,6.1444668703447345,8.023253323180698e-10,5.71536450476777e-07
KIAA0040,278.83820261323353,0.49968391393944334,0.0816702884640218,6.118307200048266,9.457461504587914e-10,6.416212097898286e-07
HSD17B2,8.033893272180512,-5.251624327685699,0.8749131250880677,-6.002452331661017,1.943593328127702e-09,1.258653370265244e-06
ARL11,6.407615945722344,3.238589813253565,0.5429429012644617,5.964881032077594,2.4481234504351966e-09,1.5164528173195758e-06
AAR2,330.4577925314867,-0.36777955479279717,0.06203360933144189,-5.928714430072461,3.0531552521407533e-09,1.8124292865520547e-06
GBP1,225.71098760376185,0.6496866301148612,0.11116005516070958,5.844605143237624,5.077712428538879e-09,2.893686758775736e-06
DEF8,17.913454281060268,-2.3537930753189076,0.4046043954129816,-5.817517313217469,5.97280774890269e-09,3.2728689230237166e-06
VKORC1,249.1190146359657,0.40794396035506064,0.07048740899727786,5.787472772205529,7.145326476912438e-09,3.7703506043174628e-06
RPP14,60.197461321225525,-0.6097531530975301,0.1058321234905657,-5.761512979108709,8.336325147700009e-09,4.207352345575662e-06
FLT1,23.035617178672677,-5.170076040460915,0.8980563578499908,-5.756961682046811,8.564134064834295e-09,4.207352345575662e-06
OSER1,185.3454819679633,-0.4436643296310236,0.07729699747008953,-5.739735619131931,9.48244684608496e-09,4.503214007205748e-06
CCNT1,318.21245304303153,-0.514671008073778,0.09039088423705395,-5.693837519323644,1.2421529897803396e-08,5.6411142438212105e-06
CSK,1763.146687984466,0.37560515461121635,0.06600621987209745,5.690450920216906,1.2670432778990576e-08,5.6411142438212105e-06
PER1,2041.7540722787335,-0.8110558698677122,0.14342195795399304,-5.6550327539656315,1.558165555267852e-08,6.727025656333662e-06
CDK4,129.0710679980346,0.6342192850718367,0.11443655216605447,5.542104101070308,2.988585356389687e-08,1.2523051638965843e-05
PTPN6,876.2221816517575,0.4699270284104048,0.08524984084024839,5.512350800642686,3.5407230756495794e-08,1.441276618822273e-05
MR1,39.38862082593344,0.6884478497031474,0.12506261828925427,5.504825175743988,3.6953478970342495e-08,1.4624339302513043e-05
ECH1,11.878773180734271,3.927515961459184,0.7172852937145237,5.475528350958102,4.3620811333530036e-08,1.635436050181059e-05
MPDU1,185.8336261204549,0.404719756580843,0.0738790180996886,5.478142062401733,4.298149970472589e-08,1.635436050181059e-05
CLP1,38.248609096842785,-0.6275920667317604,0.11504464641762921,-5.455204446919743,4.8916530672509924e-08,1.786958493567305e-05
DENND6A,166.66342217184652,-0.39672318133491574,0.07302504632695904,-5.432700166442145,5.5507632794372735e-08,1.977043111053571e-05
NUP50,358.064042471937,0.4909499346472492,0.09064136257396779,5.4164006443152255,6.081075682924708e-08,2.1130996403567883e-05
SLC14A2,3.503881809514558,-3.402944519301857,0.6292465126688621,-5.407967228723665,6.374408427004503e-08,2.144900282566985e-05
BRAT1,163.5704945822613,0.5374312107769086,0.0994285939415064,5.405197735101011,6.473693560074427e-08,2.144900282566985e-05
